Name,Team,Age,W,L,SV,G,GS,IP,WAR,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP
Jay Jackson,MIN,36,1,2,0,20,0,26.1,-0.3,9.9,3.1,2.4,0.304,48%,36%,0.22,92.0,7.52,4.77,5.44,3.83
Drew Smyly,CHC,35,4,8,0,50,0,58.2,-0.3,8.6,3.8,1.5,0.288,79%,35%,0.14,,3.84,3.75,4.91,4.57
Lucas Sims,- - -,30,1,6,1,58,0,49.1,-0.3,8.9,5.5,1.5,0.262,79%,28%,0.11,94.4,4.38,4.37,5.23,5.33
Jordan Romano,TOR,31,1,2,8,15,0,13.2,-0.3,8.6,2.6,2.6,0.300,71%,28%,0.22,96.6,6.59,7.58,6.17,4.35
Colin Poche,TBR,30,1,2,2,43,0,37.1,-0.3,8.0,3.1,1.7,0.230,81%,33%,0.13,91.3,3.86,3.75,4.88,4.59
Will Smith,KCR,34,0,4,1,45,0,41.1,-0.4,6.3,3.3,1.5,0.288,60%,31%,0.11,91.3,6.53,5.63,5.27,5.41
Giovanny Gallegos,STL,32,2,1,1,21,0,20.2,-0.5,9.1,4.4,2.6,0.316,74%,48%,0.30,92.5,6.53,4.46,6.36,4.05
Génesis Cabrera,TOR,27,3,3,2,69,0,62.2,-0.5,7.2,4.2,1.4,0.294,79%,43%,0.14,96.0,3.59,4.31,5.13,4.74
Tyler Alexander,TBR,29,6,5,0,23,9,107.2,-0.6,7.5,2.0,1.9,0.278,73%,31%,0.14,89.8,5.10,4.71,5.08,4.63
Scott McGough,ARI,34,1,3,0,26,2,32.2,-0.7,6.9,5.8,1.7,0.289,55%,41%,0.14,93.2,7.44,5.85,6.04,5.60
Chris Devenski,TBR,33,2,1,0,19,0,26.2,-0.7,8.1,4.7,3.0,0.253,58%,25%,0.18,93.2,6.75,6.12,7.33,5.72
Matt Moore,LAA,35,5,3,1,51,0,48.1,-0.7,7.6,4.8,2.0,0.215,70%,29%,0.15,93.0,5.03,4.4,6.17,5.46
Adbert Alzolay,CHC,29,1,4,4,18,0,17.1,-0.8,6.8,3.1,3.1,0.265,74%,42%,0.26,95.1,4.67,6.86,7.38,4.88
Enyel De Los Santos,- - -,28,1,2,2,64,0,64,-0.9,9.3,3.5,2.4,0.291,80%,34%,0.20,95.5,5.20,5.48,5.96,4.57
,,,,,,,,,,,,,,,,,,,,,
